Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
95429,CSE,599,M.S. Thesis Research,,TUT,T90,1 to 12,APPT,1:00 AM,1:00 AM,,Arthur Lee
95690,CSE,599,M.S. Thesis Research,,TUT,T91,1 to 12,APPT,1:00 AM,1:00 AM,,Chi Him Wong
96666,CSE,599,M.S. Thesis Research,,TUT,T92,1 to 12,APPT,1:00 AM,1:00 AM,,Jihoon Ryoo
96324,CSE,600,Rsrch in Modern Computer Sci.,,SEM,S90,0 to 1,F,2:00 PM,3:20 PM,,YoungMin Kwon
95501,CSE,644,Seminar in Databases,,SEM,S90,,TU,6:30 PM,7:50 PM,,TBA
95626,CSE,646,Sem in Artificial Intelligence,,SEM,S90,,TU,6:30 PM,7:50 PM,,Byungkon Kang
95502,CSE,649,Seminar in Operating Systems,,SEM,S90,,TU,6:30 PM,7:50 PM,,YoungMin Kwon
95414,CSE,658,Sem on Mobile and Wireless Net,,SEM,S90,1,TU,6:30 PM,7:50 PM,,Jihoon Ryoo
96323,CSE,659,Seminar in Computer Security,,SEM,S90,1,TU,6:30 PM,7:50 PM,,Antonino Mione
95430,CSE,698,Practicum in Teaching,,TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,,Arthur Lee
95601,CSE,698,Practicum in Teaching,,TUT,T92,0 to 3,APPT,1:00 AM,1:00 AM,,Byungkon Kang
95431,CSE,699,Dissertation Resrch on Campus,,TUT,T90,0 to 9,APPT,1:00 AM,1:00 AM,,Arthur Lee
95683,CSE,699,Dissertation Resrch on Campus,,TUT,T91,0 to 9,APPT,1:00 AM,1:00 AM,,Chi Him Wong
95555,CSE,699,Dissertation Resrch on Campus,,TUT,T92,0 to 9,APPT,1:00 AM,1:00 AM,,YoungMin Kwon
95556,CSE,699,Dissertation Resrch on Campus,,TUT,T93,0 to 9,APPT,1:00 AM,1:00 AM,,Jihoon Ryoo
95557,CSE,699,Dissertation Resrch on Campus,,TUT,T94,0 to 9,APPT,1:00 AM,1:00 AM,,Byungkon Kang
95432,CSE,700,Dissertation off Campus Domest,,TUT,T90,0 to 9,APPT,1:00 AM,1:00 AM,,Arthur Lee
Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
96530,ESE,123,Introduction to Electrical and Computer Engineering,TECH,LEC,90,4,TUTH,9:00 AM,10:20 AM,B203,Sangjin Hong
96531,ESE,123,Introduction to Electrical and Computer Engineering,TECH,LAB,L90,TU,2:00 PM,4:50 PM,C508,Sangjin Hong,
96532,ESE,123,Introduction to Electrical and Computer Engineering,TECH,LAB,L91,TH,2:00 PM,4:50 PM,C508,Sangjin Hong,
96554,ESE,475,Undergraduate Teaching Practicum,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,,Sangjin Hong
96555,ESE,476,Instructional Laboratory Development  Practicum,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,,Sangjin Hong
96556,ESE,488,Internship in Electrical/Computer Engineering,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,,Sangjin Hong
96558,ESE,499,Research in Electrical Sciences,,TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,,Sangjin Hong
Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
96473,EST,100,"Designing, Producing & Presenting Multimedia Projects",,LEC,90,3,TU,3:30 PM,4:50 PM,A314,Maurice Bess
"",,,,,,,TH,A313,,,,
95575,EST,194,Decision-making,QPS,LEC,90,3,MW,5:00 PM,6:20 PM,B105,Mark Whitaker
96474,EST,201,Technological Trends in Society,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B313,Gayoung Park
95416,EST,202,"Intro to Sci, Tech,Soc Studies",TECH,LEC,90,3,TUTH,3:30 PM,4:50 PM,B203,Anthony Pennings
96475,EST,204,Modern Digital Technology and Innovation,,LEC,90,3,TUTH,2:00 PM,3:20 PM,B313,James Larson
95576,EST,205,Intro to Tech Design,TECH,LEC,90,3,TUTH,2:00 PM,3:20 PM,B105,Neal Dreamson
